run_timestamp,name_a,name_b,game_index,a_is_blue,winner_name,total_moves,total_time,avg_time_blue,avg_time_red,sims,time_per_move
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,13,1,AlphaBeta,23,8.9237,0.330041,0.451193,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,14,0,AlphaBeta,24,11.3381,0.451408,0.493419,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,15,1,AlphaBeta,21,8.5863,0.370192,0.451408,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,16,0,AlphaBeta,24,11.7214,0.452175,0.524589,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,17,1,AlphaBeta,23,9.1910,0.352599,0.450880,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,18,0,AlphaBeta,22,10.2523,0.451498,0.480518,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,19,1,AlphaBeta,23,9.0723,0.342195,0.451441,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,20,0,AlphaBeta,22,9.5669,0.451889,0.417816,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,21,1,AlphaBeta,21,8.3048,0.344687,0.451313,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,22,0,AlphaBeta,24,10.5096,0.451614,0.424179,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,23,1,AlphaBeta,21,8.2771,0.342108,0.451380,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,24,0,AlphaBeta,22,10.7223,0.451607,0.523134,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,25,1,AlphaBeta,25,10.4917,0.390681,0.451059,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,26,0,AlphaBeta,22,11.4990,0.451942,0.593405,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,27,1,AlphaBeta,21,9.0973,0.417050,0.450963,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,28,0,AlphaBeta,24,11.1442,0.451334,0.477338,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,29,1,AlphaBeta,21,8.4577,0.358814,0.451065,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,30,0,AlphaBeta,22,10.7604,0.451691,0.526510,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,31,1,AlphaBeta,27,10.3845,0.322887,0.451073,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,32,0,AlphaBeta,22,10.3309,0.451986,0.487173,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,33,1,AlphaBeta,27,10.3012,0.317191,0.450802,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,34,0,AlphaBeta,22,10.9544,0.451912,0.543928,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,35,1,AlphaBeta,23,8.8863,0.326688,0.451447,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,36,0,AlphaBeta,24,11.2983,0.451509,0.489996,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,37,1,AlphaBeta,25,10.5563,0.395569,0.451150,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,38,0,AlphaBeta,22,9.4644,0.451652,0.408737,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,39,1,AlphaBeta,21,8.6396,0.374718,0.451758,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,40,0,AlphaBeta,22,10.1715,0.451751,0.472917,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,41,1,AlphaBeta,21,8.5893,0.370784,0.451056,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,42,0,AlphaBeta,22,11.4104,0.452285,0.585010,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,43,1,AlphaBeta,25,10.0652,0.357888,0.451043,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,44,0,AlphaBeta,22,10.9501,0.451419,0.544034,600,0.5
2026-04-26_2317,AlphaBeta,gemini_3_1_pro_preview,45,1,AlphaBeta,23,8.9656,0.333807,0.450891,600,0.5
